,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place
560,Royal Challengers Bangalore,Sunrisers Hyderabad,130.0,130.0,Royal Challengers Bangalore,Bat,Tied,Tied,Hanuma Vihari,Rajiv Gandhi International Stadium,Uppal
561,Rajasthan Royals,Kolkata Knight Riders,144.0,125.0,Kolkata Knight Riders,Field,Royals,19 runs,Siddharth Trivedi,Sawai Mansingh Stadium,Jaipur
562,Sunrisers Hyderabad,Royal Challengers Bangalore,161.0,162.0,Sunrisers Hyderabad,Bat,RCB,7 wickets,Virat Kohli,M Chinnaswamy Stadium,Bangalore
563,Mumbai Indians,Delhi Daredevils,209.0,165.0,Mumbai Indians,Bat,Mumbai,44 runs,Dinesh Karthik,Wankhede Stadium,Mumbai
564,Kings XI Punjab,Chennai Super Kings,138.0,139.0,Chennai Super Kings,Field,Super,10 wickets,Michael Hussey,Punjab Cricket Association Stadium,Mohali
565,Kolkata Knight Riders,Royal Challengers Bangalore,154.0,158.0,Royal Challengers Bangalore,Field,RCB,8 wickets,Chris Gayle,M Chinnaswamy Stadium,Bangalore
566,Rajasthan Royals,Pune Warriors,145.0,148.0,Rajasthan Royals,Bat,Warriors,7 wickets,Aaron Finch,Subrata Roy Sahara Stadium,Pune
567,Delhi Daredevils,Sunrisers Hyderabad,114.0,115.0,Delhi Daredevils,Bat,Sunrisers,3 wickets,Amit Mishra,Feroz Shah Kotla,Delhi
568,Mumbai Indians,Pune Warriors,183.0,142.0,Mumbai Indians,Bat,Mumbai,41 runs,Rohit Sharma,Wankhede Stadium,Mumbai
569,Royal Challengers Bangalore,Chennai Super Kings,165.0,166.0,Chennai Super Kings,Field,Super,4 wickets,Ravindra Jadeja,MA Chidambaram Stadium,Chepauk
570,Kolkata Knight Riders,Sunrisers Hyderabad,180.0,132.0,Kolkata Knight Riders,Bat,KKR,48 runs,Gautam Gambhir,Eden Gardens,Kolkata
571,Kings XI Punjab,Rajasthan Royals,124.0,126.0,Rajasthan Royals,Field,Royals,6 wickets,James Faulkner,Sawai Mansingh Stadium,Jaipur
572,Pune Warriors,Chennai Super Kings,159.0,135.0,Pune Warriors,Bat,Warriors,24 runs,Steven Smith,MA Chidambaram Stadium,Chepauk
573,Kings XI Punjab,Kolkata Knight Riders,157.0,153.0,Kolkata Knight Riders,Field,Kings,4 runs,Manpreet Gony,Punjab Cricket Association Stadium,Mohali
574,Delhi Daredevils,Royal Challengers Bangalore,152.0,152.0,Royal Challengers Bangalore,Field,Tied,Tied,Virat Kohli,M Chinnaswamy Stadium,Bangalore
575,Sunrisers Hyderabad,Pune Warriors,119.0,108.0,Pune Warriors,Field,Sunrisers,11 runs,Amit Mishra,Subrata Roy Sahara Stadium,Pune
576,Rajasthan Royals,Mumbai Indians,179.0,92.0,Rajasthan Royals,Bat,Royals,87 runs,Ajinkya Rahane,Sawai Mansingh Stadium,Jaipur
577,Chennai Super Kings,Delhi Daredevils,169.0,83.0,Chennai Super Kings,Bat,Super,86 runs,Michael Hussey,Feroz Shah Kotla,Delhi
578,Kings XI Punjab,Sunrisers Hyderabad,123.0,127.0,Kings XI Punjab,Bat,Sunrisers,5 wickets,Hanuma Vihari,Rajiv Gandhi International Stadium,Uppal
579,Kolkata Knight Riders,Chennai Super Kings,119.0,124.0,Kolkata Knight Riders,Bat,Super,4 wickets,Ravindra Jadeja,Eden Gardens,Kolkata
580,Rajasthan Royals,Royal Challengers Bangalore,117.0,123.0,Royal Challengers Bangalore,Field,RCB,7 wickets,Vinay Kumar,M Chinnaswamy Stadium,Bangalore
581,Mumbai Indians,Delhi Daredevils,161.0,165.0,Mumbai Indians,Bat,Daredevils,9 wickets,Virender Sehwag,Feroz Shah Kotla,Delhi
582,Pune Warriors,Kings XI Punjab,185.0,186.0,Kings XI Punjab,Field,Kings,7 wickets,David Miller,Punjab Cricket Association Stadium,Mohali
583,Rajasthan Royals,Chennai Super Kings,185.0,186.0,Rajasthan Royals,Bat,Super,5 wickets,Michael Hussey,MA Chidambaram Stadium,Chepauk
584,Royal Challengers Bangalore,Pune Warriors,263.0,133.0,Pune Warriors,Field,RCB,130 runs,Chris Gayle,M Chinnaswamy Stadium,Bangalore
585,Delhi Daredevils,Kings XI Punjab,120.0,121.0,Kings XI Punjab,Field,Kings,5 wickets,Harmeet Singh,Feroz Shah Kotla,Delhi
586,Kolkata Knight Riders,Mumbai Indians,159.0,162.0,Kolkata Knight Riders,Bat,Mumbai,5 wickets,Dwayne Smith,Eden Gardens,Kolkata
587,Sunrisers Hyderabad,Chennai Super Kings,159.0,160.0,Sunrisers Hyderabad,Bat,Super,5 wickets,MS Dhoni,MA Chidambaram Stadium,Chepauk
588,Kings XI Punjab,Kolkata Knight Riders,149.0,150.0,Kings XI Punjab,Bat,KKR,6 wickets,Jacques Kallis,Eden Gardens,Kolkata
589,Sunrisers Hyderabad,Rajasthan Royals,144.0,146.0,Sunrisers Hyderabad,Bat,Royals,8 wickets,James Faulkner,Sawai Mansingh Stadium,Jaipur
590,Mumbai Indians,Royal Challengers Bangalore,194.0,136.0,Mumbai Indians,Bat,Mumbai,58 runs,Dwayne Smith,Wankhede Stadium,Mumbai
591,Chennai Super Kings,Kolkata Knight Riders,200.0,186.0,Kolkata Knight Riders,Field,Super,14 runs,Michael Hussey,MA Chidambaram Stadium,Chepauk
592,Delhi Daredevils,Pune Warriors,164.0,149.0,Pune Warriors,Field,Daredevils,15 runs,David Warner,Shaheed Veer Narayan Singh International Stadium,Raipur
593,Royal Challengers Bangalore,Rajasthan Royals,171.0,173.0,Rajasthan Royals,Field,Royals,4 wickets,Sanju Samson,Sawai Mansingh Stadium,Jaipur
594,Mumbai Indians,Kings XI Punjab,174.0,170.0,Mumbai Indians,Bat,Mumbai,4 runs,Rohit Sharma,Wankhede Stadium,Mumbai
595,Chennai Super Kings,Pune Warriors,164.0,127.0,Chennai Super Kings,Bat,Super,37 runs,MS Dhoni,Subrata Roy Sahara Stadium,Pune
596,Mumbai Indians,Sunrisers Hyderabad,129.0,130.0,Mumbai Indians,Bat,Sunrisers,7 wickets,Ishant Sharma,Rajiv Gandhi International Stadium,Uppal
597,Kolkata Knight Riders,Delhi Daredevils,136.0,137.0,Kolkata Knight Riders,Bat,Daredevils,7 wickets,David Warner,Shaheed Veer Narayan Singh International Stadium,Raipur
598,Chennai Super Kings,Kings XI Punjab,186.0,171.0,Chennai Super Kings,Bat,Super,15 runs,Suresh Raina,MA Chidambaram Stadium,Chepauk
599,Royal Challengers Bangalore,Pune Warriors,187.0,170.0,Royal Challengers Bangalore,Bat,RCB,17 runs,AB de Villiers,Subrata Roy Sahara Stadium,Pune
600,Rajasthan Royals,Kolkata Knight Riders,132.0,133.0,Rajasthan Royals,Bat,KKR,8 wickets,Yusuf Pathan,Eden Gardens,Kolkata
601,Delhi Daredevils,Sunrisers Hyderabad,80.0,81.0,Delhi Daredevils,Bat,Sunrisers,6 wickets,Daren Sammy,Rajiv Gandhi International Stadium,Uppal
602,Mumbai Indians,Chennai Super Kings,139.0,79.0,Mumbai Indians,Bat,Mumbai,60 runs,Mitchell Johnson,Wankhede Stadium,Mumbai
603,Pune Warriors,Rajasthan Royals,178.0,182.0,Pune Warriors,Bat,Royals,5 wickets,Ajinkya Rahane,Sawai Mansingh Stadium,Jaipur
604,Royal Challengers Bangalore,Kings XI Punjab,190.0,194.0,Kings XI Punjab,Field,Kings,6 wickets,David Miller,Punjab Cricket Association Stadium,Mohali
605,Delhi Daredevils,Rajasthan Royals,154.0,155.0,Delhi Daredevils,Bat,Royals,9 wickets,Ajinkya Rahane,Sawai Mansingh Stadium,Jaipur
606,Mumbai Indians,Kolkata Knight Riders,170.0,105.0,Mumbai Indians,Bat,Mumbai,65 runs,Sachin Tendulkar,Wankhede Stadium,Mumbai
607,Chennai Super Kings,Sunrisers Hyderabad,223.0,146.0,Sunrisers Hyderabad,Field,Super,77 runs,Suresh Raina,Rajiv Gandhi International Stadium,Uppal
608,Kings XI Punjab,Rajasthan Royals,145.0,147.0,Rajasthan Royals,Field,Royals,8 wickets,Kevon Cooper,Punjab Cricket Association Stadium,Mohali
609,Kolkata Knight Riders,Pune Warriors,152.0,106.0,Kolkata Knight Riders,Bat,KKR,46 runs,Gautam Gambhir,Subrata Roy Sahara Stadium,Pune
610,Royal Challengers Bangalore,Delhi Daredevils,183.0,179.0,Delhi Daredevils,Field,RCB,4 runs,Jaydev Unadkat,Feroz Shah Kotla,Delhi
611,Pune Warriors,Mumbai Indians,112.0,116.0,Pune Warriors,Bat,Mumbai,5 wickets,Mitchell Johnson,Subrata Roy Sahara Stadium,Pune
612,Sunrisers Hyderabad,Kings XI Punjab,150.0,120.0,Kings XI Punjab,Field,Sunrisers,30 runs,Parthiv Patel,Punjab Cricket Association Stadium,Mohali
613,Royal Challengers Bangalore,Kolkata Knight Riders,115.0,116.0,Kolkata Knight Riders,Field,KKR,5 wickets,Jacques Kallis,JSCA International Stadium Complex,Ranchi
614,Chennai Super Kings,Rajasthan Royals,141.0,144.0,Rajasthan Royals,Field,Royals,5 wickets,Shane Watson,Sawai Mansingh Stadium,Jaipur
615,Sunrisers Hyderabad,Mumbai Indians,178.0,184.0,Sunrisers Hyderabad,Bat,Mumbai,7 wickets,Kieron Pollard,Wankhede Stadium,Mumbai
616,Royal Challengers Bangalore,Kings XI Punjab,174.0,176.0,Kings XI Punjab,Field,Kings,7 wickets,Adam Gilchrist,M Chinnaswamy Stadium,Bangalore
617,Chennai Super Kings,Delhi Daredevils,168.0,135.0,Chennai Super Kings,Bat,Super,33 runs,MS Dhoni,MA Chidambaram Stadium,Chepauk
618,Pune Warriors,Kolkata Knight Riders,170.0,163.0,Kolkata Knight Riders,Field,Warriors,7 runs,Manish Pandey,JSCA International Stadium Complex,Ranchi
619,Mumbai Indians,Rajasthan Royals,166.0,152.0,Rajasthan Royals,Field,Mumbai,14 runs,Aditya Tare,Wankhede Stadium,Mumbai
620,Kings XI Punjab,Delhi Daredevils,171.0,164.0,Delhi Daredevils,Field,Kings,7 runs,David Miller,Himachal Pradesh Cricket Association Stadium,Dharamsala
621,Sunrisers Hyderabad,Rajasthan Royals,136.0,113.0,Sunrisers Hyderabad,Bat,Sunrisers,23 runs,Amit Mishra,Rajiv Gandhi International Stadium,Uppal
622,Kings XI Punjab,Mumbai Indians,183.0,133.0,Mumbai Indians,Field,Kings,50 runs,Azhar Mahmood,Himachal Pradesh Cricket Association Stadium,Dharamsala
623,Royal Challengers Bangalore,Chennai Super Kings,,82.0,Chennai Super Kings,Field,RCB,24 runs,Virat Kohli,M Chinnaswamy Stadium,Bangalore
624,Pune Warriors,Delhi Daredevils,172.0,134.0,Pune Warriors,Bat,Warriors,38 runs,Luke Wright,Subrata Roy Sahara Stadium,Pune
625,Kolkata Knight Riders,Sunrisers Hyderabad,130.0,132.0,Kolkata Knight Riders,Bat,Sunrisers,5 wickets,Parthiv Patel,Rajiv Gandhi International Stadium,Uppal
626,Chennai Super Kings,Mumbai Indians,192.0,144.0,Chennai Super Kings,Bat,Super,48 runs,Michael Hussey,Feroz Shah Kotla,Delhi
627,Sunrisers Hyderabad,Rajasthan Royals,132.0,135.0,Sunrisers Hyderabad,Bat,Royals,4 wickets,Brad Hodge,Feroz Shah Kotla,Delhi
628,Rajasthan Royals,Mumbai Indians,165.0,169.0,Rajasthan Royals,Bat,Mumbai,4 wickets,Harbhajan Singh,Eden Gardens,Kolkata
629,Mumbai Indians,Chennai Super Kings,148.0,125.0,Mumbai Indians,Bat,Mumbai,23 runs,Kieron Pollard,Eden Gardens,Kolkata
630,Chennai Super Kings,Mumbai Indians,112.0,115.0,Mumbai Indians,Field,Mumbai,8 wickets,Richard Levi,MA Chidambaram Stadium,Chepauk
631,Kolkata Knight Riders,Delhi Daredevils,,100.0,Delhi Daredevils,Field,Daredevils,8 wickets,Irfan Pathan,Eden Gardens,Kolkata
632,Pune Warriors,Mumbai Indians,129.0,101.0,Mumbai Indians,Field,Warriors,28 runs,Steven Smith,Wankhede Stadium,Mumbai
633,Rajasthan Royals,Kings XI Punjab,191.0,160.0,Kings XI Punjab,Field,Royals,31 runs,Ajinkya Rahane,Sawai Mansingh Stadium,Jaipur
634,Royal Challengers Bangalore,Delhi Daredevils,157.0,137.0,Delhi Daredevils,Field,RCB,20 runs,AB de Villiers,M Chinnaswamy Stadium,Bangalore
635,Chennai Super Kings,Deccan Chargers,193.0,119.0,Deccan Chargers,Field,Super,74 runs,Ravindra Jadeja,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
636,Rajasthan Royals,Kolkata Knight Riders,164.0,142.0,Kolkata Knight Riders,Field,Royals,22 runs,Brad Hodge,Sawai Mansingh Stadium,Jaipur
637,Pune Warriors,Kings XI Punjab,166.0,144.0,Pune Warriors,Bat,Warriors,22 runs,Marlon Samuels,Subrata Roy Sahara Stadium,Pune
638,Deccan Chargers,Mumbai Indians,138.0,142.0,Deccan Chargers,Bat,Mumbai,5 wickets,Rohit Sharma,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
639,Kolkata Knight Riders,Royal Challengers Bangalore,165.0,123.0,Royal Challengers Bangalore,Field,KKR,42 runs,Lakshmipathy Balaji,M Chinnaswamy Stadium,Bangalore
640,Chennai Super Kings,Delhi Daredevils,110.0,111.0,Delhi Daredevils,Field,Daredevils,8 wickets,Morne Morkel,Feroz Shah Kotla,Delhi
641,Mumbai Indians,Rajasthan Royals,197.0,170.0,Rajasthan Royals,Field,Mumbai,27 runs,Kieron Pollard,Wankhede Stadium,Mumbai
642,Royal Challengers Bangalore,Chennai Super Kings,205.0,208.0,Royal Challengers Bangalore,Bat,Super,5 wickets,Faf du Plessis,MA Chidambaram Stadium,Chepauk
643,Pune Warriors,Kings XI Punjab,115.0,116.0,Kings XI Punjab,Field,Kings,7 wickets,Dimitri Mascarenhas,Punjab Cricket Association Stadium,Mohali
644,Rajasthan Royals,Kolkata Knight Riders,131.0,137.0,Rajasthan Royals,Bat,KKR,5 wickets,Shakib Al Hasan,Eden Gardens,Kolkata
645,Chennai Super Kings,Pune Warriors,155.0,156.0,Chennai Super Kings,Bat,Warriors,7 wickets,Jesse Ryder,Subrata Roy Sahara Stadium,Pune
646,Kings XI Punjab,Kolkata Knight Riders,134.0,132.0,Kolkata Knight Riders,Field,Kings,2 runs,Sunil Narine,Eden Gardens,Kolkata
647,Rajasthan Royals,Royal Challengers Bangalore,195.0,136.0,Rajasthan Royals,Bat,Royals,59 runs,Ajinkya Rahane,M Chinnaswamy Stadium,Bangalore
648,Mumbai Indians,Delhi Daredevils,92.0,93.0,Delhi Daredevils,Field,Daredevils,7 wickets,Shahbaz Nadeem,Wankhede Stadium,Mumbai
649,Deccan Chargers,Rajasthan Royals,196.0,197.0,Deccan Chargers,Bat,Royals,5 wickets,Brad Hodge,Sawai Mansingh Stadium,Jaipur
650,Pune Warriors,Royal Challengers Bangalore,182.0,186.0,Pune Warriors,Bat,RCB,6 wickets,Chris Gayle,M Chinnaswamy Stadium,Bangalore
651,Kings XI Punjab,Kolkata Knight Riders,124.0,127.0,Kings XI Punjab,Bat,KKR,8 wickets,Gautam Gambhir,Punjab Cricket Association Stadium,Mohali
652,Deccan Chargers,Delhi Daredevils,157.0,162.0,Deccan Chargers,Bat,Daredevils,5 wickets,Kevin Pietersen,Feroz Shah Kotla,Delhi
653,Chennai Super Kings,Pune Warriors,164.0,151.0,Pune Warriors,Field,Super,13 runs,Nuwan Kulasekara,MA Chidambaram Stadium,Chepauk
654,Kings XI Punjab,Royal Challengers Bangalore,163.0,166.0,Royal Challengers Bangalore,Field,RCB,5 wickets,Chris Gayle,Punjab Cricket Association Stadium,Mohali
655,Rajasthan Royals,Chennai Super Kings,146.0,147.0,Rajasthan Royals,Bat,Super,7 wickets,Faf du Plessis,MA Chidambaram Stadium,Chepauk
656,Pune Warriors,Delhi Daredevils,192.0,172.0,Delhi Daredevils,Field,Warriors,20 runs,Sourav Ganguly,Feroz Shah Kotla,Delhi
657,Mumbai Indians,Kings XI Punjab,163.0,164.0,Mumbai Indians,Bat,Kings,6 wickets,Shaun Marsh,Wankhede Stadium,Mumbai
658,Deccan Chargers,Kolkata Knight Riders,126.0,127.0,Kolkata Knight Riders,Field,KKR,5 wickets,Brett Lee,Barabati Stadium,Cuttack
659,Royal Challengers Bangalore,Rajasthan Royals,189.0,143.0,Rajasthan Royals,Field,RCB,46 runs,AB de Villiers,Sawai Mansingh Stadium,Jaipur
660,Pune Warriors,Delhi Daredevils,146.0,148.0,Pune Warriors,Bat,Daredevils,8 wickets,Virender Sehwag,Subrata Roy Sahara Stadium,Pune
661,Kolkata Knight Riders,,,,,No Toss,Match,Match abandoned without a ball bowled,,,
662,Kings XI Punjab,Mumbai Indians,168.0,171.0,Kings XI Punjab,Bat,Mumbai,4 wickets,Ambati Rayudu,Punjab Cricket Association Stadium,Mohali
663,Royal Challengers Bangalore,,,,,No Toss,No,No result,,,
664,Deccan Chargers,Pune Warriors,177.0,159.0,Deccan Chargers,Bat,Chargers,18 runs,Cameron White,Subrata Roy Sahara Stadium,Pune
665,Delhi Daredevils,Mumbai Indians,207.0,170.0,Mumbai Indians,Field,Daredevils,37 runs,Virender Sehwag,Feroz Shah Kotla,Delhi
666,Kings XI Punjab,Chennai Super Kings,156.0,149.0,Kings XI Punjab,Bat,Kings,7 runs,Mandeep Singh,MA Chidambaram Stadium,Chepauk
667,Kolkata Knight Riders,Royal Challengers Bangalore,190.0,143.0,Kolkata Knight Riders,Bat,KKR,47 runs,Gautam Gambhir,Eden Gardens,Kolkata
668,Delhi Daredevils,Rajasthan Royals,152.0,151.0,Delhi Daredevils,Bat,Daredevils,1 run,Virender Sehwag,Feroz Shah Kotla,Delhi
669,Deccan Chargers,Mumbai Indians,100.0,101.0,Mumbai Indians,Field,Mumbai,5 wickets,Dale Steyn,Wankhede Stadium,Mumbai
670,Chennai Super Kings,Kolkata Knight Riders,139.0,140.0,Chennai Super Kings,Bat,KKR,5 wickets,Gautam Gambhir,MA Chidambaram Stadium,Chepauk
671,Deccan Chargers,Pune Warriors,186.0,173.0,Deccan Chargers,Bat,Chargers,13 runs,Kumar Sangakkara,Barabati Stadium,Cuttack
672,Rajasthan Royals,Delhi Daredevils,141.0,144.0,Rajasthan Royals,Bat,Daredevils,6 wickets,Pawan Negi,Sawai Mansingh Stadium,Jaipur
673,Royal Challengers Bangalore,Kings XI Punjab,158.0,163.0,Kings XI Punjab,Field,Kings,4 wickets,Azhar Mahmood,M Chinnaswamy Stadium,Bangalore
674,Mumbai Indians,Pune Warriors,120.0,119.0,Mumbai Indians,Bat,Mumbai,1 run,Lasith Malinga,Subrata Roy Sahara Stadium,Pune
675,Chennai Super Kings,Deccan Chargers,160.0,150.0,Chennai Super Kings,Bat,Super,10 runs,Suresh Raina,MA Chidambaram Stadium,Chepauk
676,Kolkata Knight Riders,Pune Warriors,150.0,143.0,Kolkata Knight Riders,Bat,KKR,7 runs,Sunil Narine,Eden Gardens,Kolkata
677,Rajasthan Royals,Kings XI Punjab,177.0,134.0,Rajasthan Royals,Bat,Royals,43 runs,Shane Watson,Punjab Cricket Association Stadium,Mohali
678,Chennai Super Kings,Mumbai Indians,173.0,174.0,Mumbai Indians,Field,Mumbai,2 wickets,Dwayne Smith,Wankhede Stadium,Mumbai
679,Deccan Chargers,Royal Challengers Bangalore,181.0,185.0,Royal Challengers Bangalore,Field,RCB,5 wickets,AB de Villiers,M Chinnaswamy Stadium,Bangalore
680,Delhi Daredevils,Kolkata Knight Riders,153.0,154.0,Delhi Daredevils,Bat,KKR,6 wickets,Jacques Kallis,Feroz Shah Kotla,Delhi
681,Pune Warriors,Rajasthan Royals,125.0,126.0,Pune Warriors,Bat,Royals,7 wickets,Shane Watson,Subrata Roy Sahara Stadium,Pune
682,Kings XI Punjab,Deccan Chargers,170.0,145.0,Deccan Chargers,Field,Kings,25 runs,Mandeep Singh,Rajiv Gandhi International Stadium,Uppal
683,Mumbai Indians,Royal Challengers Bangalore,141.0,142.0,Royal Challengers Bangalore,Field,RCB,9 wickets,Chris Gayle,Wankhede Stadium,Mumbai
684,Deccan Chargers,Delhi Daredevils,187.0,193.0,Deccan Chargers,Bat,Daredevils,9 wickets,David Warner,Rajiv Gandhi International Stadium,Uppal
685,Rajasthan Royals,Chennai Super Kings,126.0,127.0,Chennai Super Kings,Field,Super,4 wickets,Ben Hilfenhaus,Sawai Mansingh Stadium,Jaipur
686,Royal Challengers Bangalore,Pune Warriors,173.0,138.0,Pune Warriors,Field,RCB,35 runs,Chris Gayle,Subrata Roy Sahara Stadium,Pune
687,Mumbai Indians,Kolkata Knight Riders,182.0,155.0,Mumbai Indians,Bat,Mumbai,27 runs,Rohit Sharma,Eden Gardens,Kolkata
688,Delhi Daredevils,Chennai Super Kings,114.0,115.0,Chennai Super Kings,Field,Super,9 wickets,Ben Hilfenhaus,MA Chidambaram Stadium,Chepauk
689,Rajasthan Royals,Pune Warriors,170.0,125.0,Rajasthan Royals,Bat,Royals,45 runs,Ajit  Chandila,Sawai Mansingh Stadium,Jaipur
690,Deccan Chargers,Kings XI Punjab,190.0,194.0,Deccan Chargers,Bat,Kings,4 wickets,David Hussey,Punjab Cricket Association Stadium,Mohali
691,Royal Challengers Bangalore,Mumbai Indians,171.0,173.0,Mumbai Indians,Field,Mumbai,5 wickets,Ambati Rayudu,M Chinnaswamy Stadium,Bangalore
692,Kolkata Knight Riders,Chennai Super Kings,158.0,160.0,Chennai Super Kings,Field,Super,5 wickets,Michael Hussey,Eden Gardens,Kolkata
693,Kings XI Punjab,Delhi Daredevils,136.0,140.0,Kings XI Punjab,Bat,Daredevils,5 wickets,Umesh Yadav,Feroz Shah Kotla,Delhi
694,Kolkata Knight Riders,Mumbai Indians,140.0,108.0,Mumbai Indians,Field,KKR,32 runs,Sunil Narine,Wankhede Stadium,Mumbai
695,Chennai Super Kings,Kings XI Punjab,120.0,123.0,Kings XI Punjab,Field,Kings,6 wickets,Adam Gilchrist,Himachal Pradesh Cricket Association Stadium,Dharamsala
696,Royal Challengers Bangalore,Delhi Daredevils,215.0,194.0,Delhi Daredevils,Field,RCB,21 runs,Chris Gayle,Feroz Shah Kotla,Delhi
697,Rajasthan Royals,Deccan Chargers,126.0,128.0,Rajasthan Royals,Bat,Chargers,5 wickets,Dale Steyn,Rajiv Gandhi International Stadium,Uppal
698,Kings XI Punjab,Delhi Daredevils,141.0,145.0,Delhi Daredevils,Field,Daredevils,6 wickets,Umesh Yadav,Himachal Pradesh Cricket Association Stadium,Dharamsala
699,Kolkata Knight Riders,Pune Warriors,136.0,102.0,Kolkata Knight Riders,Bat,KKR,34 runs,Shakib Al Hasan,Subrata Roy Sahara Stadium,Pune
700,Deccan Chargers,Royal Challengers Bangalore,132.0,123.0,Royal Challengers Bangalore,Field,Chargers,9 runs,Dale Steyn,Rajiv Gandhi International Stadium,Uppal
701,Rajasthan Royals,Mumbai Indians,162.0,163.0,Rajasthan Royals,Bat,Mumbai,10 wickets,Dwayne Smith,Sawai Mansingh Stadium,Jaipur
702,Kolkata Knight Riders,Delhi Daredevils,162.0,144.0,Kolkata Knight Riders,Bat,KKR,18 runs,Yusuf Pathan,Subrata Roy Sahara Stadium,Pune
703,Chennai Super Kings,Mumbai Indians,187.0,149.0,Mumbai Indians,Field,Super,38 runs,MS Dhoni,M Chinnaswamy Stadium,Bangalore
704,Chennai Super Kings,Delhi Daredevils,222.0,136.0,Delhi Daredevils,Field,Super,86 runs,Murali Vijay,MA Chidambaram Stadium,Chepauk
705,Chennai Super Kings,Kolkata Knight Riders,190.0,192.0,Chennai Super Kings,Bat,KKR,5 wickets,Manvinder  Bisla,MA Chidambaram Stadium,Chepauk
706,Chennai Super Kings,Kolkata Knight Riders,153.0,151.0,Chennai Super Kings,Bat,Super,2 runs,Srikkanth Anirudha,MA Chidambaram Stadium,Chepauk
707,Deccan Chargers,Rajasthan Royals,137.0,141.0,Rajasthan Royals,Field,Royals,8 wickets,Siddharth Trivedi,Rajiv Gandhi International Stadium,Uppal
708,Kochi Tuskers Kerala,Royal Challengers Bangalore,161.0,162.0,Kochi Tuskers Kerala,Bat,RCB,6 wickets,AB de Villiers,Nehru Stadium,Kochi
709,Delhi Daredevils,Mumbai Indians,95.0,99.0,Delhi Daredevils,Bat,Mumbai,8 wickets,Lasith Malinga,Feroz Shah Kotla,Delhi
710,Kings XI Punjab,Pune Warriors,112.0,113.0,Kings XI Punjab,Bat,Warriors,7 wickets,Shrikant Wagh,Dr DY Patil Sports Academy,Mumbai
711,Kolkata Knight Riders,Deccan Chargers,163.0,154.0,Kolkata Knight Riders,Bat,KKR,9 runs,Jacques Kallis,Eden Gardens,Kolkata
712,Delhi Daredevils,Rajasthan Royals,151.0,152.0,Delhi Daredevils,Bat,Royals,6 wickets,Shane Warne,Sawai Mansingh Stadium,Jaipur
713,Royal Challengers Bangalore,Mumbai Indians,140.0,143.0,Mumbai Indians,Field,Mumbai,9 wickets,Sachin Tendulkar,M Chinnaswamy Stadium,Bangalore
714,Chennai Super Kings,Kings XI Punjab,188.0,193.0,Kings XI Punjab,Field,Kings,6 wickets,Paul Valthaty,Punjab Cricket Association Stadium,Mohali
715,Kochi Tuskers Kerala,Pune Warriors,148.0,151.0,Kochi Tuskers Kerala,Bat,Warriors,4 wickets,Mohnish  Mishra,Dr DY Patil Sports Academy,Mumbai
716,Deccan Chargers,Royal Challengers Bangalore,175.0,142.0,Royal Challengers Bangalore,Field,Chargers,33 runs,Dale Steyn,Rajiv Gandhi International Stadium,Uppal
717,Rajasthan Royals,Kolkata Knight Riders,159.0,160.0,Kolkata Knight Riders,Field,KKR,9 wickets,Gautam Gambhir,Sawai Mansingh Stadium,Jaipur
718,Mumbai Indians,Kochi Tuskers Kerala,182.0,184.0,Kochi Tuskers Kerala,Field,Kochi,8 wickets,Brendon McCullum,Wankhede Stadium,Mumbai
719,Chennai Super Kings,Royal Challengers Bangalore,183.0,162.0,Chennai Super Kings,Bat,Super,21 runs,Michael Hussey,MA Chidambaram Stadium,Chepauk
720,Deccan Chargers,Kings XI Punjab,165.0,166.0,Kings XI Punjab,Field,Kings,8 wickets,Paul Valthaty,Rajiv Gandhi International Stadium,Uppal
721,Pune Warriors,Delhi Daredevils,187.0,190.0,Delhi Daredevils,Field,Daredevils,3 wickets,Yuvraj Singh,Dr DY Patil Sports Academy,Mumbai
722,Rajasthan Royals,Kolkata Knight Riders,81.0,85.0,Kolkata Knight Riders,Field,KKR,8 wickets,Lakshmipathy Balaji,Eden Gardens,Kolkata
723,Chennai Super Kings,Kochi Tuskers Kerala,,135.0,Kochi Tuskers Kerala,Field,Kochi,7 wickets,Brendon McCullum,Nehru Stadium,Kochi
724,Deccan Chargers,Delhi Daredevils,168.0,152.0,Deccan Chargers,Bat,Chargers,16 runs,Sunny Sohal,Feroz Shah Kotla,Delhi
725,Royal Challengers Bangalore,,,,,No Toss,Match,Match abandoned without a ball bowled,,,
726,Pune Warriors,Mumbai Indians,118.0,124.0,Pune Warriors,Bat,Mumbai,7 wickets,Munaf Patel,Wankhede Stadium,Mumbai
727,Kochi Tuskers Kerala,Kolkata Knight Riders,132.0,126.0,Kolkata Knight Riders,Field,Kochi,6 runs,Mahela Jayawardene,Eden Gardens,Kolkata
728,Kings XI Punjab,Rajasthan Royals,195.0,147.0,Rajasthan Royals,Field,Kings,48 runs,Shaun Marsh,Punjab Cricket Association Stadium,Mohali
729,Kolkata Knight Riders,Royal Challengers Bangalore,171.0,175.0,Royal Challengers Bangalore,Field,RCB,9 wickets,Chris Gayle,Eden Gardens,Kolkata
