,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place
433,Sunrisers Hyderabad,Royal Challengers Bangalore,208.0,200.0,Sunrisers Hyderabad,Bat,Sunrisers,8 runs,Ben Cutting,M Chinnaswamy Stadium,Bangalore
434,Mumbai Indians,Kolkata Knight Riders,168.0,170.0,Kolkata Knight Riders,Field,KKR,7 wickets,Morne Morkel,Eden Gardens,Kolkata
435,Chennai Super Kings,Delhi Daredevils,150.0,149.0,Delhi Daredevils,Field,Super,1 run,Ashish Nehra,MA Chidambaram Stadium,Chepauk
436,Rajasthan Royals,Kings XI Punjab,162.0,136.0,Kings XI Punjab,Field,Royals,26 runs,James Faulkner,Maharashtra Cricket Association Stadium,Pune
437,Chennai Super Kings,Sunrisers Hyderabad,209.0,164.0,Chennai Super Kings,Bat,Super,45 runs,Brendon McCullum,MA Chidambaram Stadium,Chepauk
438,Kolkata Knight Riders,Royal Challengers Bangalore,177.0,179.0,Royal Challengers Bangalore,Field,RCB,3 wickets,Chris Gayle,Eden Gardens,Kolkata
439,Delhi Daredevils,Rajasthan Royals,184.0,186.0,Rajasthan Royals,Field,Royals,3 wickets,Deepak Hooda,Feroz Shah Kotla,Delhi
440,Kings XI Punjab,Mumbai Indians,177.0,159.0,Mumbai Indians,Field,Kings,18 runs,George Bailey,Wankhede Stadium,Mumbai
441,Royal Challengers Bangalore,Sunrisers Hyderabad,166.0,172.0,Sunrisers Hyderabad,Field,Sunrisers,8 wickets,David Warner,M Chinnaswamy Stadium,Bangalore
442,Mumbai Indians,Rajasthan Royals,164.0,165.0,Mumbai Indians,Bat,Royals,7 wickets,Steven Smith,Sardar Patel Stadium,Motera
443,Kings XI Punjab,Delhi Daredevils,165.0,169.0,Kings XI Punjab,Bat,Daredevils,5 wickets,Mayank Agarwal,Maharashtra Cricket Association Stadium,Pune
444,Sunrisers Hyderabad,Rajasthan Royals,127.0,131.0,Rajasthan Royals,Field,Royals,6 wickets,Ajinkya Rahane,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
445,Mumbai Indians,Chennai Super Kings,183.0,189.0,Mumbai Indians,Bat,Super,6 wickets,Ashish Nehra,Wankhede Stadium,Mumbai
446,Delhi Daredevils,Sunrisers Hyderabad,167.0,163.0,Delhi Daredevils,Bat,Daredevils,4 runs,Jean-Paul Duminy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
447,Kings XI Punjab,Kolkata Knight Riders,155.0,159.0,Kolkata Knight Riders,Field,KKR,4 wickets,Andre Russell,Maharashtra Cricket Association Stadium,Pune
448,Chennai Super Kings,Rajasthan Royals,156.0,157.0,Chennai Super Kings,Bat,Royals,8 wickets,Ajinkya Rahane,Sardar Patel Stadium,Motera
449,Mumbai Indians,Royal Challengers Bangalore,209.0,191.0,Royal Challengers Bangalore,Field,Mumbai,18 runs,Harbhajan Singh,M Chinnaswamy Stadium,Bangalore
450,Delhi Daredevils,Kolkata Knight Riders,146.0,147.0,Kolkata Knight Riders,Field,KKR,6 wickets,Umesh Yadav,Feroz Shah Kotla,Delhi
451,Rajasthan Royals,Kings XI Punjab,191.0,191.0,Kings XI Punjab,Field,Tied,Tied,Shaun Marsh,Sardar Patel Stadium,Motera
452,Sunrisers Hyderabad,Kolkata Knight Riders,176.0,101.0,Kolkata Knight Riders,Field,Sunrisers,16 runs,David Warner,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
453,Chennai Super Kings,Royal Challengers Bangalore,181.0,154.0,Royal Challengers Bangalore,Field,Super,27 runs,Suresh Raina,M Chinnaswamy Stadium,Bangalore
454,Delhi Daredevils,Mumbai Indians,190.0,153.0,Mumbai Indians,Field,Daredevils,37 runs,Shreyas Iyer,Feroz Shah Kotla,Delhi
455,Rajasthan Royals,Royal Challengers Bangalore,130.0,134.0,Royal Challengers Bangalore,Field,RCB,9 wickets,Mitchell Starc,Sardar Patel Stadium,Motera
456,Mumbai Indians,Sunrisers Hyderabad,157.0,137.0,Mumbai Indians,Bat,Mumbai,20 runs,Lasith Malinga,Wankhede Stadium,Mumbai
457,Chennai Super Kings,Kings XI Punjab,192.0,95.0,Chennai Super Kings,Bat,Super,97 runs,Brendon McCullum,MA Chidambaram Stadium,Chepauk
458,Kolkata Knight Riders,,,,,No Toss,Match,Match abandoned without a ball bowled,,,
459,Delhi Daredevils,Royal Challengers Bangalore,95.0,99.0,Royal Challengers Bangalore,Field,RCB,10 wickets,Varun Aaron,Feroz Shah Kotla,Delhi
460,Sunrisers Hyderabad,Kings XI Punjab,150.0,130.0,Kings XI Punjab,Field,Sunrisers,20 runs,Trent Boult,Punjab Cricket Association Stadium,Mohali
461,Chennai Super Kings,Kolkata Knight Riders,134.0,132.0,Kolkata Knight Riders,Field,Super,2 runs,Dwayne Bravo,MA Chidambaram Stadium,Chepauk
462,Royal Challengers Bangalore,Rajasthan Royals,,,8 (1 nb),No Toss,No,No result,9 (1 nb),PLAYER NAMEOMRWEcon,
463,Chennai Super Kings,Kolkata Knight Riders,165.0,169.0,Kolkata Knight Riders,Field,KKR,7 wickets,Andre Russell,Eden Gardens,Kolkata
464,Kings XI Punjab,Delhi Daredevils,118.0,119.0,Delhi Daredevils,Field,Daredevils,9 wickets,Nathan Coulter-Nile,Feroz Shah Kotla,Delhi
